county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k
"Humboldt County, California",61160,134541,93515,19039,1737,54922,31053,56342,44459,54922.0,3907.0,2369.0,2117.0,2522.0,2289.0,2764.0,2729.0,2188.0,2063.0,3879.0,5788.0,6113.0,4599.0,3306.0,3978.0,4311.0,06,023,0.8490768726557664
"Imperial County, California",57681,180202,16413,154886,3523,49644,28210,60888,53472,49644.0,3572.0,2097.0,2596.0,2887.0,2509.0,1800.0,2078.0,2201.0,2026.0,3963.0,4471.0,5585.0,4419.0,3322.0,3316.0,2802.0,06,025,0.8767625493513819
"Inyo County, California",73991,18739,10874,4529,98,8040,5339,8346,6576,8040.0,461.0,475.0,237.0,258.0,198.0,317.0,314.0,307.0,248.0,496.0,776.0,1042.0,835.0,643.0,556.0,877.0,06,027,0.8217661691542288
"Kern County, California",70210,915075,270456,516662,43987,284931,171133,356584,320218,284931.0,15398.0,12488.0,9726.0,10997.0,12233.0,10976.0,11995.0,10961.0,10195.0,19172.0,26804.0,35283.0,30327.0,18880.0,24892.0,24604.0,06,029,0.826287767915741
"Kings County, California",70995,153298,42981,89248,8907,44052,23870,57785,52351,44052.0,2450.0,1269.0,1190.0,1527.0,1428.0,1676.0,1400.0,1941.0,2317.0,3082.0,5046.0,5958.0,4972.0,3238.0,3511.0,3047.0,06,031,0.8511304821574502
"Lake County, California",60621,68152,43638,16796,1335,26940,19441,24224,19556,26940.0,1615.0,1473.0,1379.0,1208.0,1099.0,1134.0,1160.0,1149.0,876.0,2189.0,3012.0,2572.0,2398.0,1467.0,2029.0,2180.0,06,033,0.8437639198218263
"Lassen County, California",67403,30356,18609,6851,1855,9247,6305,9432,8242,9247.0,567.0,353.0,400.0,312.0,401.0,325.0,462.0,398.0,215.0,709.0,927.0,1294.0,1160.0,550.0,681.0,493.0,06,035,0.8730399048340002
"Los Angeles County, California",90112,9808667,2425184,4752274,727132,3416449,1567983,4687090,3472368,3416449.0,179099.0,123891.0,90748.0,103537.0,99758.0,100144.0,98445.0,101479.0,96726.0,185039.0,280702.0,405321.0,339997.0,255801.0,358426.0,597336.0,06,037,0.720246958172067
"Madera County, California",76627,160940,48195,98083,3926,45379,30613,60117,50165,45379.0,2383.0,1503.0,1534.0,1675.0,1290.0,1689.0,1491.0,1521.0,2060.0,2775.0,4343.0,6761.0,4775.0,2982.0,3974.0,4623.0,06,039,0.8105511359880121
"Marin County, California",149091,257969,167816,50216,5379,103018,66616,122873,72354,103018.0,3385.0,1975.0,1681.0,1484.0,1795.0,2248.0,1954.0,1855.0,1721.0,4352.0,5800.0,9198.0,7682.0,6610.0,11173.0,40105.0,06,041,0.5022423265837038
"Mariposa County, California",68412,17082,12649,2508,154,7508,5611,7435,5602,7508.0,250.0,517.0,226.0,308.0,358.0,298.0,301.0,234.0,189.0,589.0,794.0,843.0,661.0,693.0,574.0,673.0,06,043,0.8339104954714971
